annee;numAgglomeration;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationAgglomeration
2019;2B501;3;6;906;;7944;218867;1480933,5;18,2713178;1;2;344;2881;58602;358751,5;11,78576385;10706072
2020;2B501;3;6;906;;3800;53276;346353;9,194870644;1;2;344;1475;16324;96987,5;6,386016798;49055
2010;751;10;39;7083;1;64971;1221009;7592665,9;10,64338018;5;8;1412;10450;222382;1107172,4;14,06484901;14541106
2011;751;9;38;6829;1;71226;1264668;8001788,8;10,10603252;5;11;1842;15148;443367;2450941;18,89266429;53068
2012;751;8;37;6600;1;65405;1183725;7403920,45;10,34999866;5;11;1842;15478;414544;2257595,3;17,20789329;61800
2013;751;9;38;6829;1;65272;1149316;7140982,65;10,0810879;5;11;1842;15486;423492;2309887,9;17,51910694;10706072
2014;751;9;38;6829;1;66043;1193658;7333120,05;10,23826746;5;11;1842;15599;414698;2205111,7;17,02068103;5892
2015;751;9;38;6829;1;66060;1182416;7446610,95;10,16181684;6;12;2071;17073;422127;2317054,45;15,21278152;29851
2016;751;9;39;6920;1;66580;1241522;7739760,59;10,58151805;6;13;2162;17742;464804;2579824,35;16,07315019;10706072
2017;751;9;39;6920;1;66569;1230617;7796253,16;10,4443409;6;13;2162;17385;436865;2426805;15,05664184;14541106
2018;751;8;37;6724;1;65537;1189775;7392922,2;10,17576963;5;11;1966;16460;433584;2415505,2;15,40570444;904359
2019;751;9;40;7124;1;66114;1269797;8022132,1;11,00336488;5;11;1966;15276;407791;2332018,4;15,76777171;2815
2020;751;9;40;7072;1;34946;407563;2564829,22;6,636201846;5;13;2186;9539;191835;1079474,6;12,32257414;11161
2010;60501;2;11;2118;1;15755;518362;3466442,6;17,38431407;2;11;2118;15755;518362;3466442,6;17,38431407;2123
2011;60501;2;11;2118;1;15795;540328;3651722,8;17,96405912;2;11;2118;15795;540328;3651722,8;17,96405912;373130
2012;60501;2;11;2118;1;15842;514287;3424907,6;17,09178417;2;11;2118;15842;514287;3424907,6;17,09178417;3485
2013;60501;2;11;2118;1;15407;474699;3121202,68;16,2179974;2;11;2118;15407;474699;3121202,68;16,2179974;36517
2014;60501;2;11;2118;1;15377;530291;3413011,16;18,15379949;2;11;2118;15377;530291;3413011,16;18,15379949;83893
2015;60501;2;11;2118;1;15820;514226;3372103,9;17,08895044;2;11;2118;15820;514226;3372103,9;17,08895044;10706072
2016;60501;2;11;2118;1;16645;516915;3385474,05;16,495099;2;11;2118;16645;516915;3385474,05;16,495099;18794
2017;60501;2;11;2118;1;17073;514704;3450795,2;16,10325526;2;11;2118;17073;514704;3450795,2;16,10325526;7942
2018;60501;2;11;1800;1;21290;445665;2963670,84;13,16764105;2;11;1800;21290;445665;2963670,84;13,16764105;41248
2019;60501;2;13;2315;1;22876;470080;3239191,65;11,55177312;2;13;2315;22876;470080;3239191,65;11,55177312;14541106
2020;60501;2;13;2313;1;11965;131908;913272;6,29240497;2;13;2313;11965;131908;913272;6,29240497;10706072
2010;555;1;14;2973;1;23365;499569;3132757,36;10,23365356;1;14;2973;23365;499569;3132757,36;10,23365356;1585498
2011;555;1;14;2973;1;23452;530040;3084496,06;10,84853497;1;14;2973;23452;530040;3084496,06;10,84853497;9835
2012;555;1;14;2973;1;22774;504547;3087020,69;10,69142382;1;14;2973;22774;504547;3087020,69;10,69142382;14541106
2013;555;1;14;2973;1;23645;484481;3090583,05;9,905075196;1;14;2973;23645;484481;3090583,05;9,905075196;16504
2014;555;1;14;2973;1;24484;497742;3272242,25;9,770866312;1;14;2973;24484;497742;3272242,25;9,770866312;8421
2015;555;1;14;2973;1;23872;487437;3276526,7;9,872101784;1;14;2973;23872;487437;3276526,7;9,872101784;237578
2016;555;1;14;2973;1;23666;493492;3363126,54;10,03380644;1;14;2973;23666;493492;3363126,54;10,03380644;3649
2017;555;1;14;2973;1;25845;481801;3342276,43;8,865366134;1;14;2973;25845;481801;3342276,43;8,865366134;177103
2018;555;1;14;2973;1;25434;468169;3217835,99;8,722688092;1;14;2973;25434;468169;3217835,99;8,722688092;943354
2019;555;1;14;2973;1;24575;486372;3459165;9,377300959;1;14;2973;24575;486372;3459165;9,377300959;177103
2020;555;1;14;2973;1;11642;153048;1105211,07;6,202892559;1;14;2973;11642;153048;1105211,07;6,202892559;9470
2010;553;2;8;1425;;8031;178173;1144778,35;13,07121886;2;8;1425;8031;178173;1144778,35;13,07121886;511598
2011;553;2;8;1425;;8252;188322;1270689,6;13,41709907;2;8;1425;8252;188322;1270689,6;13,41709907;14541106
2012;553;2;8;1425;;8154;168356;1156739,15;12,19244769;2;8;1425;8154;168356;1156739,15;12,19244769;5231
2013;553;2;8;1425;;8017;154400;1053198,6;11,45364907;2;8;1425;8017;154400;1053198,6;11,45364907;5391
2014;553;2;8;1425;;8257;170471;1105047,45;12,06897406;2;8;1425;8257;170471;1105047,45;12,06897406;6888
2015;553;2;10;1509;1;9705;183090;1223573,45;12,04345352;2;10;1509;9705;183090;1223573,45;12,04345352;504537
2016;553;2;10;1509;1;12275;189575;1245666,95;10,82691162;2;10;1509;12275;189575;1245666,95;10,82691162;237578
2017;553;2;10;1509;1;12912;197377;1280943,65;10,9771039;2;10;1509;12912;197377;1280943,65;10,9771039;16740
2018;553;2;10;1509;1;13778;189148;1200508,15;10,04244258;2;10;1509;13778;189148;1200508,15;10,04244258;3490
2019;553;2;11;1594;1;14040;208323;1323097,43;10,77628259;2;11;1594;14040;208323;1323097,43;10,77628259;10706072
2020;553;2;12;1597;1;6410;67254;419774,6;8,703101484;2;12;1597;6410;67254;419774,6;8,703101484;14541106
2010;25602;4;22;3550;2;35767;997403;6365765,91;18,80265137;2;4;789;5333;108635;519715,6;15,02872661;14541106
2011;25602;4;22;3550;2;36543;1005501;6312378,92;18,30770015;2;4;789;5449;111354;522246,6;14,89496318;15450
2012;25602;4;22;3550;2;36542;932886;5825857,95;17,1578021;2;4;789;5580;108101;494409,9;14,06151629;10706072
2013;25602;4;22;3550;2;36238;860417;5449390,96;15,92894321;2;4;789;5576;108047;510164,9;14,02129791;10706072
